ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0451528204,Madame Bovary (Signet Classics (Paperback)),Gustave Flaubert,2001,Signet Classics
1557832307,Cyrano De Bergerac,Edmond Rostand,1998,Applause Theatre & Cinema Book Publishers
0452276721,The Ghost Road,Pat Barker,1996,Plume Books
0060927518,"Testaments Betrayed : Essay in Nine Parts, An",Milan Kundera,1996,Perennial
0394497848,Song of Solomon,TONI MORRISON,1977,Knopf
0553264303,The Osterman Weekend,Robert Ludlum,1984,Bantam Books
0821765868,Border Fire,Amanda Scott,2000,Kensington Publishing Corporation
067102177X,"The Clayborne Brides : One Pink Rose, One White Rose, One Red Rose",Julie Garwood,1998,Pocket
8437601851,"San Manuel Bueno, Martir",Miguel De Unamuno,1992,Ediciones Catedra S.A.
0684841371,Until Today! : Daily Devotions For Spiritual Growth And Peace Of Mind,Iyanla Vanzant,2000,Simon & Schuster
0312120001,Topping from Below,Laura Reese,1995,St Martins Pr
3499138956,Ein BÃ?ÃÂ¤r will nach oben.,William Kotzwinkle,1998,Rowohlt Tb.
8445073850,Cronicas Marcianas,Ray Bradbury,2003,Minotauro
8478446400,Vendedor de Cuentos,Jostein Gaarder,2003,Siruela
0062511173,Nothing Special : Living Zen,Charlotte J. Beck,1994,HarperSanFrancisco
3257056109,Das Parfum. Die Geschichte eines MÃ?ÃÂ¶rders.,Patrick SÃ?ÃÂ¼skind,2002,Diogenes
0684848120,The Motley Fools You Have More Than You Think : The Foolish Guide To Investing What You Have (Motley Fool Books),David Gardner,1999,Fireside
0515128325,After the Fall,Judith Kelman,2000,Jove Books
0807062995,The Female Man (Bluestreak),Joanna Russ,2000,Beacon Press
0385031149,Goethe's Faust,JOHANN WOLFGANG VON GOETHE,1962,Anchor
0061052280,David Copperfield's Tales of the Impossible,David Copperfield,1995,Harpercollins
0596001967,Web Design in a Nutshell,Jennifer Niederst,2001,O'Reilly
207036805X,La Nausee,Jean Paul Sartre,2002,Gallimard Jeunesse
0671640585,NIGHT OF FOX,Jack Higgins,1987,Pocket
1550376284,After Hamelin,Bill Richardson,2000,Annick Press
0671878549,The Ship Errant,Jody Lynn Nye,1997,Baen
006009527X,Fire Lover: A True Story,Joseph Wambaugh,2002,William Morrow
0887307396,Built to Last: Successful Habits of Visionary Companies,James C. Collins,1997,HarperCollins Publishers
0679735739,The Information,Martin Amis,1996,Vintage Books USA
158005059X,A Woman Alone: Travel Tales from Around the Globe,Faith Conlon,2001,Seal Press (WA)
0890877025,Sark's Journal and Play!Book : A Place to Dream While Awake,Sark,1993,Celestial Arts
0896087247,War Talk,Arundhati Roy,2003,South End Press
0841914060,The Royal Game & Other Stories,Stefan Zweig,2000,Holmes & Meier Publishers
0380813017,When the Laird Returns: Book Two of The Highland Lords,Karen Ranney,2002,Avon
0380820552,Getting Her Man,Michele Albert,2002,Avon
0375704051,Awakenings,Oliver W. Sacks,1999,Vintage Books USA
9722110500,A varanda do frangipani: Romance (Uma terra sem amos),Mia Couto,1996,Caminho
0140465340,The read-aloud handbook (Penguin handbooks),Jim Trelease,1982,Penguin Books
0451409132,Biting the Moon,Martha Grimes,2000,Onyx Books
0142301493,Leave Well Enough Alone,Rosemary Wells,2002,Puffin Books
0060182687,Power of a Woman,Barbara Taylor Bradford,1997,Harpercollins
0446604682,Nathan's Run,John Gilstrap,1997,Warner Books
0451171861,Immoral Certainty,Robert K. Tanenbaum,1997,Signet Book
0385242719,"Labyrinths of Reason : Paradox, Puzzles, and the Frailty of Knowledge",WILLIAM POUNDSTONE,1989,Anchor
1852305606,Encyclopedia of Celtic Wisdom the Celtic Shamans,Caitlin Matthews,0,Element Books Inc
0786708395,Garnethill: A Novel of Crime,Denise Mina,2001,Carroll & Graf Publishers
0060959517,Elizabeth: The Struggle for the Throne,David Starkey,2001,Perennial
0312242417,The Sisters of Henry VIII: The Tumultuous Lives of Margaret of Scotland and Mary of France,Maria Perry,1999,St Martins Pr
0345445910,Into the Inferno,EARL EMERSON,2003,Ballantine Books
068480378X,ROADKILL (Kinky Friedman Novels (Hardcover)),Kinky Friedman,1997,Simon & Schuster
0449218929,Quality of Mercy,Faye Kellerman,1992,Fawcett Books
1560974109,Mail Order Bride,Mark Kalesniko,2003,Fantagraphics Books
1591823935,"Confidential Confessions, Book 1",Reiko Momochi,2003,TokyoPop
1569311382,X/1999 : Prelude (X/1999),Clamp,1996,Viz Communications
3492107400,Herbstmilch,A. Wimschneider,0,Piper Verlag GmbH
3453152271,Das Magische Messer / The Magic Knife,Philip Pullman,2002,Distribooks
3453137442,Der Goldene Kompass / The Golden Compass,Philip Pullman,2002,Distribooks
3426618303,London.,Edward Rutherfurd,2000,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
0762413697,The Book Lover's Kit,Deborah Grandinetti,2002,Running Press Book Publishers
0446607827,Superstition,David Ambrose,1999,Warner Books
0812092821,501 Spanish Verbs: Fully Conjugated in All the Tenses in a New Easy-to-Learn Format Alphabetically Arranged,Christopher Kendris,1996,Barron's Educational Series
0312966814,Sleeping With the Crawfish,D.J. Donaldson,1998,St Martins Pr
0425171272,Home Song,Lavyrle Spencer,1999,Berkley Publishing Group
0452270529,This Little Light of Mine: The Life of Fannie Lou Hamer,Kay Mills,1994,Plume Books
0394713788,Is There No Place on Earth for Me?,Susan Sheehan,1983,Vintage Books USA
0140011307,The Thirty-Nine Steps (World's Classics),John Buchan,1991,Penguin Books
0671007343,AT ALL COSTS NANCY DREW HARDY BOYS SUPERMYSTERY,Carolyn Keene,1997,Simon Pulse
0671695347,ABOUT FACE : THE ODYSSEY OF AN AMERICAN WARRIOR,David H. Hackworth,1990,Touchstone
0671869205,Truman,David McCullough,1993,Simon & Schuster
1853262412,100 Selected Stories (Wordsworth Classics),O. Henry,1997,NTC/Contemporary Publishing Company
8401490693,Arena y viento (Los Jet de Plaza & JanÃÂ©s),Alberto VÃÂ¡zquez-Figueroa,1992,Plaza & JanÃÂ©s Editores
0451145577,The Seventh Secret,Irving Wallace,1986,Signet Book
0440207428,Minotaur,Stephen Coonts,1995,Dell Publishing Company
0684855135,The Last Dance : A Novel of the 87th Precinct,Ed McBain,2000,Simon & Schuster
8878188212,Memorie Di una Geisha / Memoires of a Geisha,Arthur S. Golden,2002,Distribooks
0441010210,Channeling Cleopatra,Elizabeth Ann Scarborough,2003,Ace Books
0451454146,The Innkeeper's Song: A Novel,Peter S. Beagle,1994,Roc
0345448995,Regina's Song,David Eddings,2003,Ballantine Books
0671878638,Bedlam's Bard,Mercedes Lackey,1998,Baen
0140449132,Crime and Punishment (Penguin Classics),Fyodor Dostoyevsky,2003,Penguin Books
0739307320,The Devil Wears Prada,LAUREN WEISBERGER,2003,Random House Audio
0688171451,Altar Ego,Kathy Lette,1999,William Morrow & Company
0451409639,Pandora's Curse (Philip Mercer (Paperback)),Jack Du Brul,2001,Onyx Books
0140622160,Selected Poetry (Penguin Popular Classics),William Wordsworth,1996,Penguin Books Ltd
0380725347,Even the Wicked: A Matthew Scudder Novel,Lawrence Block,1998,Avon
0312978820,Hot Night in the City,Trevanian,2001,St. Martin's Paperbacks
0889951853,Restlessness: A Novel (Fiction),Aritha Van Herk,1998,Red Deer Press
0889223025,Les Belles-Soeurs,Michel Tremblay,1993,"Talonbooks, Ltd."
0449207005,A Morbid Taste for Bone (Brother Cadfael Mysteries),Ellis Peters,1985,Fawcett Books
0345347676,"Camber of Culdi (Legends of Camber of Culdi, Vol 1)",Katherine Kurtz,1987,Del Rey Books
0802733794,Sins Out of School: A Dorothy Martin Mystery,Jeanne M. Dams,2003,Walker & Company
0060158638,The Bean Trees,Barbara Kingsolver,1988,Harpercollins
0553373730,Fractured Fairy Tales,A.J. JACOBS,1999,Bantam
8475251471,La vuelta al mundo en 80 dÃÂ­as,Jules Verne,1984,Grupo Anaya Comercial
8401570557,Mala Indole,Javier Marias,1998,"Plaza & Janes Editores, S.A."
0874775191,"The Healing Power of Humor: Techniques for Getting Through Loss, Setbacks, Upsets, Disappointments, Difficulties, Trials, Tribulations, and All That",Allen Klein,1989,Jeremy P. Tarcher
0192833901,A Tale of Two Cities (Oxford World's Classics),Charles Dickens,1998,Oxford University Press
0140432620,Daisy Miller (Penguin Classics),Henry James,1988,Penguin Books
1561451010,Out to Pasture: But Not over the Hill (But Not Over the Hill),Effie Leland Wilder,1995,Peachtree Publishers
0385496052,What the Body Remembers: A Novel,Shauna Singh Baldwin,2001,Anchor Books/Doubleday
8420430811,Memorias de Una Geisha,Arthur S. Golden,1999,"Alfaguara Ediciones, S.A. (Spain)"
0590568825,"Ghost Camp (Goosebumps, No 45)",R. L. Stine,1996,Scholastic
1585421359,The Fasting Girl: A True Victorian Medical Mystery,Michelle Stacey,2002,Jeremy P. Tarcher
0451456068,The Jigsaw Woman,Kim Antieau,1997,Roc
0743482212,Sugar Skull : An Eve Diamond Novel (Eve Diamond Novels),Denise Hamilton,2004,Pocket Star
039915034X,Star Witness,Dudley W. Buffa,2003,Putnam Publishing Group
0446527378,The Judgment,D.W. Buffa,2001,Warner Books
0060177012,Death Penalty: A Novel,William J. Coughlin,1992,HarperCollins Publishers
0345410033,Games People Play : The basic handbook of transactional analysis.,ERIC MD BERNE,1996,Ballantine Books
0060186941,Jay Leno: Leading With My Chin,Jay Leno,1996,Harpercollins
0684850737,The Prisoner's Wife,asha bandele,0,Scribner
1569312036,"Ranma 1/2, Vol. 9",Rumiko Takahashi,1997,Viz Communications
1568361173,Meet Sailor Moon,Kodansha America,1995,Kodansha America
0941711420,Scarpetta's Winter Table,Patricia Daniels Cornwell,1998,Wyrick and Company
0553091735,Dead Man's Island: A Henrie O Mystery,Carolyn G. Hart,1993,Bantam Dell Pub Group
006050675X,"The Emerald Cavern (Graham, Mitchell. Fifth Ring, Bk. 2.)",Mitchell Graham,2003,Eos
0786918179,"Dragons of a Lost Star (Dragonlance: The War of Souls, Volume II)",Margaret Weis,2001,Wizards of the Coast
0061020575,"Well of Darkness (The Sovereign Stone Trilogy, Book 1)",Margaret Weis,2001,HarperTorch
0886779804,Villains Victorious,Martin Harry Greenberg,2001,Daw Books
0451452682,The Eye of the Hunter (Mithgar),Dennis L. McKiernan,1995,Roc
1903650267,Irish Girls About Town,Maeve Binchy,2002,TownHouse/Pocket Books
0375753788,I Will Bear Witness: A Diary of the Nazi Years 1933-1941 (Modern Library (Paperback)),Victor Klemperer,1999,Modern Library
000654861X,Life and Death in Shanghai,Nien Cheng,1995,HarperCollins Publishers
0679408193,Ablaze: The Story of the Heroes and Victims of Chernobyl,Piers Paul Read,1993,Random House Inc
0312964293,I Have Lived in the Monster : Inside the Minds of the World's Most Notorious Serial Killers (St. Martin's True Crime Library),Robert K. Ressler,1998,St. Martin's Paperbacks
0312859279,Issola (Vlad Taltos),Steven Brust,2001,Tor Books
0812589173,Issola (Vlad Taltos Novels),Steven Brust,2002,Tor Books
0441385540,Jhereg,Steven Brust,1987,ACE Charter
0553381709,"A Storm of Swords : Song of Ice and Fire, Volume 3 (A Song of Ice and Fire, Book 3)",GEORGE R.R. MARTIN,2002,Spectra
0060962348,Courage to Heal: A Guide for Women Survivors of Child Sexual Abuse,Ellen Bass,1988,Harpercollins
2266025791,Les Choses,Georges Perec,1992,Presses Pocket French
0373704526,"Dangerous Loyalty (Harlequin Superromance, No 452)",Nancy Ellison,1991,Harlequin
1558749209,Chicken Soup for the Soul,Jack Canfield,2001,Health Communications
3257205368,Topkapi.,Eric Ambler,1978,Diogenes Verlag
0316779032,The Discipline Book: How to Have a Better-Behaved Child From Birth to Age Ten,Martha,1995,"Little, Brown"
1576734587,"On Becoming Baby Wise: Learn How over 500,000 Babies Were Trained to Sleep Through the Night the Natural Way",Gary Ezzo,1998,Multnomah Pub
3442089832,Der Kuss Kunst Und Lebeb Der Camille Cla,Anne Delbee,0,Goldmann Verlag
0060589272,Eleven Minutes : A Novel,Paulo Coelho,2004,HarperCollins
0804118213,Tending Lives: Nurses on the Medical Front,Echo Heron,1999,Ivy Books
0312868278,Dark Cities Underground,Lisa Goldstein,2000,Tor Books
0395752906,The Best American Short Stories 1996: Selected from U.S. and Canadian Magazines (Serial),John Edgar Wideman,1996,Houghton Mifflin
031228361X,Liberty: A Jake Grafton Novel,Stephen Coonts,2003,St. Martin's Press
0060094397,Dale Brown's Dreamland: Razor's Edge (Dreamland (Harper Paperback)),Dale Brown,2002,Avon Books
0747263884,Head Shot (Bob Skinner Crime Novels),Quintin Jardine,2003,Headline
0440238412,When Zachary Beaver Came to Town (Readers Circle),KIMBERLY WILLIS HOLT,2003,Laurel Leaf
0553257749,Something Wicked / E.X. Ferrars.,Ray Bradbury,1983,Bantam Books
8403093004,Memorias de Un Homo Erectus,Miguel Angel Rodriguez,2002,Santillana Ediciones Generales
2253030589,Mrs Dalloway,Virginia Woolf,2003,LGF
0195038630,Battle Cry of Freedom: The Civil War Era (Oxford History of the United States),James M. McPherson,1988,Oxford University Press
1562829254,Ultimate Disney Trivia Quiz Book,David Smith,1993,Disney Editions
0385483414,The 176 Stupidest Things Ever Done,Ross Petras,1996,Main Street Books
0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
0385480210,A Pocket Mirror for Heroes: By the New York Times Bestselling Author of the Art of Worldly Wisdom,Baltasar Gracian Y Morales,1995,Bantam Dell Pub Group
0743226844,Mama Gena's School of Womanly Arts : Using the Power of Pleasure to Have Your Way with the World,Regena Thomashauer,2002,Simon & Schuster
0671019740,Heart of Fire,Linda Howard,1997,Pocket
2277302686,Le Peuple du Tapis,Terry Pratchett,1999,J'ai lu
0395746566,Sector 7 (Caldecott Honor Book),David Wiesner,1999,Clarion Books
0399127216,The White Plague,Frank Herbert,1982,Putnam Pub Group
0843948760,The Lost,Jack Ketchum,2001,Leisure Books
0375507760,The Nightspinners : A Novel,LUCRETIA WALSH GRINDLE,2003,Random House
0935312390,Life in the Iron Mills and Other Stories,Rebecca Harding Davis,1985,Feminist Press
0330282565,Little Drummer Girl,John Lecarre,0,Pan Books Ltd
0060099062,Meant To Be,Walter Anderson,2003,HarperCollins
0380754134,A More Perfect Union,J.A. Jance,1988,Avon
0399146032,The Barbarians Are Coming: A Novel,David Wong Louie,2000,Putnam Publishing Group
055356949X,Dolley: A Novel of Dolley Madison in Love and War,Rita Mae Brown,1995,Bantam Books
0743457838,Blood on the Tongue,Stephen Booth,2003,Pocket Books
0552998478,What We Did on Our Holiday,John Harding,2002,Trafalgar Square
0684837242,TUMBLING,Diane Mckinney-whetstone,1997,Touchstone
0140282025,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,Ray Kurzweil,2000,Penguin Putnam
0451138775,Parachutes and Kisses,Erica Jong,1985,New Amer Library
0515121398,This Is All I Ask,Lynn Kurland,1997,Jove Books
0451403673,Thunder and Roses (Fallen Angels),Mary Jo Putney,1993,Topaz
1551660571,Sweet Memories,Lavyrle Spencer,1995,Mira
344245204X,Livealbum.,Benjamin von Stuckrad-Barre,2002,Goldmann
3404141849,Intensity.,Dean Koontz,1999,LÃ?ÃÂ¼bbe
0140043888,The manticore,Robertson Davies,1976,Penguin Books
0451523407,Jungle Books,Rudyard Kipling,1995,Signet Classics
0671868098,FLOATING CITY,Eric Lustbader,1995,Pocket
0312980329,The Ten Thousand: A Novel of Ancient Greece,Michael Curtis Ford,2002,St. Martin's Paperbacks
0451410823,Summer Secrets,Barbara Freethy,2003,Onyx Books
0375508112,Strand of a Thousand Pearls : A Novel,DORIT RABINYAN,2002,Random House
0312300700,The Rich Part of Life : A Novel,Jim Kokoris,2002,St. Martin's Griffin
8437600723,Yerma (Letras hispÃÂ¡nicas),Federico Garcia Lorca,1998,Continental Book Company
0671441035,Heritage: Civilization and the Jews,Abba Solomon Eban,1984,Summit Books
2253076996,Une mort sans nom,Patricia Cornwell,1997,LGF
157794304X,Jambalaya for the Soul: Humorous Stories and Cajun Recipes from the Bayou,Jesse Duplantis,2000,Harrison House
1568848668,Fitness for Dummies,Suzanne Schlosberg,1996,For Dummies
0764550136,Personal Finance for Dummies,Eric Tyson,1996,John Wiley & Sons Inc
0684870940,Dream Power: How to Use Your Night Dreams to Change Your Life,Cynthia Richmond,2000,Simon & Schuster
0553578790,"Vision of the Future (Star Wars: The Hand of Thrawn, Book Two)",Timothy Zahn,1999,Spectra Books
0425183378,Cape Light,Thomas Kinkade,2002,Berkley Publishing Group
0449217124,Thornyhold,Mary Stewart,1989,Fawcett Books
2070567842,Folio Junior: L'histoire De Monsieur Sommer,Su>skind-Sempe,0,Gallimard-Jeunesse
0140272100,Vanished,Mary McGarry Morris,1997,Penguin Books
0375713549,Fletch (Vintage Crime/Black Lizard),Gregory McDonald,2002,Vintage Books USA
156389226X,"Dream Country (Sandman, Book 3)",Neil Gaiman,1999,DC Comics
1401200893,"Endless Nights (The Sandman, Book 11)",Neil Gaiman,2003,DC Comics
0671786113,Fair Haven,JoAnn Ross,2000,Pocket
0312869592,Jack of Kinrowan : Jack the Giant-Killer and Drink Down the Moon,Charles de Lint,1999,Tor Books
0140328734,Danny the Champion of the World,Roald Dahl,1988,Puffin Books
059043893X,Dogsong,Gary Paulsen,0,Scholastic Inc
0451088816,Fool's Die,Mario Puzo,1979,Signet Book
0373834454,Convenient Marriage,Georgette Heyer,2000,Harlequin
088001380X,Worshipful Company of Fletchers: Poems,James Tate,1994,W W Norton & Co Inc
0553263633,Martian Chronicles,Ray Bradbury,1984,Bantam Books
0345350596,Star Beast,ROBERT A. HEINLEIN,1987,Del Rey
0553294849,Ruffly Speaking: A Dog Lover's Mystery (Dog Lover's Mysteries),Susan Conant,1996,Crimeline
0425115844,The Crying Child,Barbara Michaels,1989,Berkley Publishing Group
0743444523,"Sweet Dreams, Irene : An Irene Kelly Novel",Jan Burke,2002,Pocket
0061094560,Flashpoint,Lynn S. Hightower,1996,HarperTorch
0451210891,Suspicion of Madness,Barbara Parker,2003,Signet Book
034546074X,The Clinic,Jonathan Kellerman,2003,Ballantine Books
0439163099,The Mozart Season,Virginia Euwer Wolff,2000,Scholastic
0671885634,The SECOND HORROR (99 FEAR STREET 2) : THE SECOND HORROR,R.L. Stine,1994,Simon Pulse
0140430091,The History of Tom Jones (Penguin Classics),Henry Fielding,1985,Penguin Books
0140620249,The Woman in White (Penguin Popular Classics),Wilkie Collins,1994,Penguin Books Ltd
0060164662,"28 Barbary Lane : A \Tales of the City\"" Omnibus""",Armistead Maupin,1990,HarperCollins
0151000719,Last Watch Of The Night: Essays Too Personal and Otherwise,Paul Monette,1994,Harcourt
2253170372,La Maison du clair de lune,Mary Higgins Clark,1998,LGF
0373613601,The Last Bachelor,Judy Christenberry,2003,Silhouette Books
1904301088,The Raggy Boy Trilogy,Patrick Galvin,2002,New Island Books
0671689711,The Duchess,Jude Deveraux,1991,Pocket Books
0553206575,The Crucible,Arthur Miller,1980,Bantam Books
0449700712,Diceys Song,Cynthia Voigt,1984,Ballantine Books
1853261750,Idiot (Wordsworth Collection),Fyodor Dostoyevsky,1998,NTC/Contemporary Publishing Company
2253009164,LA Machine Infernale (Le Livre de poche ; 854),Jean Cocteau,1991,Continental Book Co Inc
2070362361,"La Cantatrice Chauve: Anti-Piece / La Lecon: Drame Comique (Collection Folio, 236)",Eugene Ionesco,2002,Bantam Books
0375726322,The Dark Room,Rachel Seiffert,2002,Vintage Books USA
014143984X,Dracula (Penguin Classics),Bram Stoker,2003,Penguin Books
0671619055,FLOOD : Mississippi 1927,Andrew Vachss,1986,Pocket
2707318094,Qui a tuÃ?ÃÂ© Roger Ackroyd ?,Pierre Bayard,2002,Minuit
2264028815,Ubik,Philip Kindred Dick,1999,Editions 10/20
0345439481,The High Flyer: A Novel (Ballantine Reader's Circle),Susan Howatch,2001,Ballantine Books
1400060648,"The Bone Woman : A Forensic Anthropologist's Search for Truth in the Mass Graves of Rwanda,Bosnia, Croatia, and Kosovo",Clea Koff,2004,Random House
0531301427,Looking for Alibrandi,Melina Marchetta,1999,Orchard Books (NY)
0140185844,The Tree of Man (Penguin Twentieth Century Classics),Patrick White,1993,Penguin USA
0743228480,Dirt Music : A Novel,Tim Winton,2003,Scribner
0747265097,Startling Moon,Liu Hong,2004,Headline
009179319X,Neanderthal,John Darnton,1996,Hutchinson
1932270329,Johnny Cash: An American Legend,Michael McCall,2003,AMI Books
0385508603,The Bug,ELLEN ULLMAN,2003,Nan A. Talese
0553583298,Hard News,Jeff Deaver,2001,Bantam Books
0679439242,Phenomenal Woman: Four Poems Celebrating Women,Maya Angelou,1995,Random House
0060536705,Who Will Take This Man?,Jacquie D'Alessandro,2003,Avon
0373706901,"Baby Contract (9 Months Later) (Harlequin Superromance, No 690)",Lynn Erickson,1996,Harlequin
0373707959,"Want Ad (Superromance , No 795)",Dawn Stewardson,1998,Harlequin
1551666030,Prodigal Daughter,Ginna Gray,2000,Mira
0778320138,Chieftain,Nan Ryan,2004,Mira Books
0380777304,Dazzled,Catherine Hart,1994,Avon Books
0373168438,"Who Gets to Marry Max? (Harlequin American Romance, No. 843)",Neesa Hart,2000,Harlequin
0451205189,Murder Can Cool Off Your Affair: A Desiree Shapiro Mystery (Desiree Shapiro Mysteries (Paperback)),Selma Eichler,2002,Signet Book
0373707169,"Trouble At Lone Spur  (Home On The Ranch) (Harlequin Superromance, No 716)",Roz Denny Fox,1996,Harlequin
0821768441,Love to Love You Baby,Kasey Michaels,2001,Kensington Publishing Corporation
0717802418,Manifesto of the Communist Party,Karl Marx,1948,International Publishers
1878257528,"Stop! the Watch: A Book of Everyday, Ordinary, Anybody Olympics",Klutz Press,1993,Klutz Press
0805059970,Anne Frank: The Biography,Melissa Muller,1999,Owl Publishing Company
0394743644,Sleeping on the Wing : An Anthology of Modern Poetry with Essays on Reading and Writing,KENNETH KOCH,1982,Vintage
0679734031,The Art of Fiction: Notes on Craft for Young Writers,John Gardner,1991,Vintage Books USA
0140135154,Ways of Seeing,John Berger,1995,Penguin Books
0375757325,Robinson Crusoe (Modern Library Classics),Daniel Defoe,2001,Modern Library
0451525914,Women in Love,D. H. Lawrence,1995,Signet Classics
0879804211,The Knight in Rusty Armor,Robert Fisher,1989,Wilshire Book Company
0062513982,By the River Piedra I Sat Down and Wept,Paulo Coelho,1996,HarperSanFrancisco
0689821417,The Rugrats Movie Tommys New Playmate (Rugrats),Luke David,1998,Simon Spotlight/Nickelodeon
0816743924,I Love You Stinky Face,Lisa McCourt,1997,Troll Communications
1570960305,The Tea Planter's Bride/Cassette,Rosemary Rogers,1995,Romance Alive Audio Books
0886775043,Horse Fantastic,Martin Harry Greenberg,1991,Daw Books
0812523040,Cruel Miracles,Orson Scott Card,1992,Tor Books (Mm)
0886776589,"Beyond Ragnarok (Renshai Chronicles, Vol 1)",Mickey Zucker Reichert,1995,Daw Books
0886775205,The Western Wizard (Renshai Trilogy),Mickey Zucker Reichert,1997,Daw Books
0451459423,The House of Gaian,Anne Bishop,2003,Roc
0746030517,Usborne Living World Encyclopedia (Usborne Encyclopedia),Emma Speare,1999,E.D.C. Publishing
0385294638,Wanderlust,Danielle Steel,1986,Delacorte Press
0671027441,Natural Family Living : The Mothering Magazine Guide to Parenting,Peggy O'Mara,2000,Atria
0806512318,The Worst Rock-And-Roll Records of All Time: A Fan's Guide to the Stuff You Love to Hate,Jimmy Guterman,1991,Carol Publishing Corporation
0394553284,One Knee Equals Two Feet (And Everything Else You Need to Know About Football),John Madden,1986,Villard Books
0373765649,"Breathless For The Bachelor (Silhouette Desire, 1564)",Cindy Gerard,2004,Silhouette
0679811761,"The Secret of Terror Castle (Three Investigators, No 1)",Robert Arthur,1991,Random House Children's Books
0698119916,Time Stops for No Mouse (Hermux Tantamoq Adventure),Michael Hoeye,2003,Penguin USA (Paper)
0375706933,My Cat Spit McGee (Vintage),Willie Morris,2000,Vintage Books USA
0380896354,Trumps of Doom (Chronicles of Amber),Roger Zelazny,1997,Harper Mass Market Paperbacks (Mm)
0446890359,Without Feathers,Woody Allen,1981,Warner Books (Mm)
0942024001,The Hundredth Monkey,Ken Keyes Jr.,1981,Vision Books
0886771854,The Other Side of the Mirror (Darkover),Marion Zimmer Bradley,1993,Daw Books
0879979283,Sword and Sorceress #01 (Sword & the Sorceress),Marion Zimmer Bradley,1984,Daw Books
0451452305,Maze of Moonlight,Gael Baudino,1994,Roc
0451454499,"O Greenest Branch! (Water, No 1)",Gael Baudino,1995,Roc
0886772850,"Oathbound (Lackey, Mercedes. Vows and Honor, Bk. 1.)",Mercedes Lackey,1988,Penguin Putnam~mass
0449007383,Murder at Ford's Theatre,MARGARET TRUMAN,2003,Fawcett
1855858320,"Detox: Cleanse and Recharge Your Mind, Body and Soul",Christina Scott-Moncrieff,2001,Collins & Brown
0758201931,The Night We Met,Rob Byrnes,2002,Kensington Publishing Corporation
1559723009,Martina: The Lives and Times of Martina Navratilova,Adrianne Blue,1995,Carol Publishing Corporation
0449237842,At Wits End,Erma Bombeck,1982,Ballantine Books
0931580366,Hypericum (St. John's Wort) and Depression,Peter McWilliams,1997,Prelude Press
0671721178,Liar'S Oath,Elizabeth Moon,1992,Baen
0671635743,"The IDIC Epidemic (Star Trek, Book 38)",Jean Lorrah,1988,Star Trek
0671547305,Uhura's Song,Janet Kagan,1985,Star Trek
0312974728,The Trophy Wife,Diana Diamond,2001,St. Martin's Paperbacks
0671722026,MINERVA WAKES,Holly Lisle,1993,Baen
0345357620,The Steerswoman,Rosemary Kirstein,1989,Del Rey Books
0393310477,The Diversity of Life,Edward O. Wilson,1993,W W Norton & Co
0553289640,Body of Truth,David Lindsey,1993,Bantam Books
0671034251,Blind Spot,Judy Mercer,2001,Pocket
8807804506,La Mia Africa,Blixen,0,Feltrinelli
0439078059,"Isabel: Jewel of Castilla, Spain, 1466 (The Royal Diaries)",Carolyn Meyer,2000,Scholastic
0026890380,The Real Mother Goose,Checkerboard Press,1987,Checkerboard Press
0374109990,Before and After,Rosellen Brown,1992,Farrar Straus Giroux
0812568788,The Dark Side of Nowhere,Neal Shusterman,1999,Tor Books
0064440168,Come Back Amelia Bedelia an I Can Read (An I Can Read Book),Peggy Parish,1978,Harpercollins Publisher
0970760094,Mendel's Child,Robert Rooney,2002,Bellwether Publishing
155661456X,Too Long a Stranger (Women of the West),Janette Oke,1994,Bethany House
0806624302,"Prime Time Together With Kids: Creative Ideas, Activities, Games, and Projects",Donna Erickson,1989,Augsburg Fortress Publishers
0812505123,White Fang,Jack London,1989,Tor Books
0812521757,Burning Bright,Melissa Scott,1994,Tor Books
0688025072,The Wicked Day,Mary Stewart,1983,Harpercollins
0425097269,Shadowland,Peter Straub,1994,Berkley Publishing Group
0451521323,Othello,William Shakespeare,1999,Penguin USA (Paper)
0061003638,At Bertram's Hotel,Agatha Christie,1992,Harper Mass Market Paperbacks (Mm)
0393314812,Ar'N't I A Woman?: Female Slaves in the Plantation South,Deborah Gray White,1999,W. W. Norton & Company
0385094787,Archy and Mehitabel,Don Marquis,1970,Anchor
087131794X,Dr. Atkins' New Diet Cookbook,"Robert C., Md. Atkins",1995,M. Evans and Company
0451157087,Lullaby and Good Night,Vincent T. Bugliosi,1988,New Amer Library (Mm)
0394568354,S.,John Updike,1988,Alfred A. Knopf
0385720254,The Unabridged Journals of Sylvia Plath,Sylvia Plath,2000,Anchor Books/Doubleday
0394752996,Kristin Lavransdatter: The Bridal Wreath (Kristin Lavransdatter (Vintage)),Sigrid Undset,1987,Vintage Books USA
1573228834,Ethics for the New Millennium: His Holiness the Dalai Lama,Dalai Lama,2001,Riverhead Books
0800871863,Silence,Shusaku Endo,1980,Parkwest Publications
0380000547,"The Science Fiction Hall of Fame, Volume IIB",Ben Bova,1983,Harper Mass Market Paperbacks (Mm)
0345257170,Illearth War Covenant 2,Stephen Donaldson,1978,Ballantine Books
